#   r    ph     vph    
1.935  23.6657384408345     41.2235857973062
1.94  23.8728742695499     41.6398888797281
1.945  24.0821036842377     42.0611301015183
1.95  24.2934515404379     42.4873769220109
1.955  24.5069430335447     42.9186978476495
1.96  24.7226037040872     43.3551624502167
1.965  24.9404594431012     43.7968413854151
1.97  25.160536497595     44.2438064118082
1.975  25.3828614761109     44.6961304101281
1.98  25.607461354384     45.153887402958
1.985  25.834363481101     45.6171525747987
1.99  26.0635955837587     46.086002292525
1.995  26.295185774628     46.5605141262426
2  26.529162556821     47.0407668705529
2.005  26.765554830467     47.5268405662344
2.01  27.0043918989972     48.0188165223508
2.015  27.2457034755411     48.5167773387934
2.02  27.4895196894369     49.0208069292685
2.025  27.7358710928576     49.530990544739
2.03  27.984788667556     50.0474147973299
2.035  28.2363038317298     50.5701676847083
2.04  28.4904484470099     51.0993386149472
2.045  28.7472548255749     51.6350184318853
2.05  29.0067557373922     52.1772994409921
2.055  29.2689844175915     52.7262754357499
2.06  29.5339745739701     53.2820417245653
2.065  29.8017603946343     53.8446951582191
2.07  30.0723765557803     54.4143341578696
2.075  30.3458582296154     54.9910587436193
2.08  30.6222410924237     55.5749705636583
2.085  30.9015613327799     56.1661729239976
2.09  31.1838556599115     56.7647708188045
2.095  31.4691613122158     57.3708709613542
2.1  31.7575160659326     57.984581815611
2.105  32.0489582439757     58.6060136284539
2.11  32.3435267249285     59.2352784625598
2.115  32.6412609522044     59.8724902299601
2.12  32.9422009433775     60.5177647262855
2.125  33.2463872996856     61.1712196657147
2.13  33.5538612157105     61.8329747166423
2.135  33.8646644892373     62.5031515380836
2.14  34.1788395312989     63.1818738168305
2.145  34.4964293764071     63.8692673053792
2.15  34.8174776929757     64.5654598606432
2.155  35.142028793939     65.270581483473
2.16  35.4701276475702     65.9847643589991
2.165  35.8018198885031     66.7081428978171
2.17  36.1371518289622     67.4408537780358
2.175  36.4761704702052     68.1830359882061
2.18  36.8189235141819     68.9348308711523
2.185  37.1654593754151     69.6963821687271
2.19  37.5158271931072     70.4678360675097
2.195  37.8700768434778     71.2493412454713
2.2  38.2282589523368     72.0410489196289
2.205  38.5904249078988     72.8431128947109
2.21  38.9566268738427     73.655689612858
2.215  39.3269178026227     74.4789382043842
2.22  39.7013514490359     75.313020539622
2.225  40.0799823840515     76.1581012818776
2.23  40.4628660089077     77.0143479415223
2.235  40.8500585694822     77.8819309312469
2.24  41.2416171709411     78.761023622507
2.245  41.637599792674     79.6518024031857
2.25  42.0380653035194     80.5544467365053
2.255  42.443073477289     81.4691392212161
2.26  42.8526850085947     82.3960656530917
2.265  43.2669615289877     83.3354150877655
2.27  43.6859656234142     84.2873799049364
2.275  44.109760846996     85.2521558739795
2.28  44.5384117421425     86.2299422209943
2.285  44.9719838560017     87.2209416973261
2.29  45.4105437582571     88.2253606495937
2.295  45.8541590592791     89.2434090912641
2.3  46.3028984286375     90.2753007758072
2.305  46.7568316139843     91.3212532714719
2.31  47.2160294603138     92.3814880377223
2.315  47.68056392961     93.4562305033743
2.32  48.1505081208876     94.545710146474
2.325  48.625936290638     95.6501605759617
2.33  49.1069238736874     96.7698196151644
2.335  49.5935475044771     97.9049293871619
2.34  50.0858850387751     99.0557364020734
2.345  50.5840155758295     100.222491646312
2.35  51.0880194809726     101.405450673854
2.355  51.5979784086862     102.604873699578
2.36  52.1139753261398     103.82102569472
2.365  52.6360945372097     105.054176484495
2.37  53.1644217069936     106.304600847957
2.375  53.6990438868283     107.572578620122
2.38  54.2400495398247     108.858394796449
2.385  54.787528566931     110.162339639698
2.39  55.3415723335359     111.484708789263
2.395  55.9022736966247     112.825803373019
2.4  56.4697270325009     114.185930121745
2.405  57.0440282650867     115.565401486214
2.41  57.625274894815     116.964535756979
2.415  58.2135660281278     118.383657186967
2.42  58.8090024075939     119.823096116915
2.425  59.4116864426615     121.283189103744
2.43  60.0217222410593     122.764279051938
2.435  60.639215640863     124.266715348008
2.44  61.2642742432408     125.790853998123
2.445  61.897007445896     127.337057768974
2.45  62.5375264772208     128.905696331989
2.455  63.1859444311809     130.497146410942
2.46  63.8423763029455     132.111791933085
2.465  64.5069390252824     133.750024183866
2.47  65.1797515057359     135.412241965349
2.475  65.8609346646049     137.098851758408
2.48  66.5506114737431     138.810267888826
2.485  67.2489069961979     140.54691269737
2.49  67.9559484267107     142.309216713971
2.495  68.6718651330979     144.09761883611
2.5  69.3967886985341     145.912566511507
2.505  70.1308529647606     147.754515925264
2.51  70.8741940762393     149.623932191533
2.515  71.6269505252774     151.521289549878
2.52  72.3892631981452     153.447071566416
2.525  73.1612754222119     155.401771339896
2.53  73.9431330141231     157.38589171283
2.535  74.7349843290486     159.399945487823
2.54  75.5369803110228     161.444455649235
2.545  76.3492745444077     163.519955590329
2.55  77.172023306506     165.626989346043
2.555  78.0053856213509     167.766111831554
2.56  78.849523314704     169.937889086775
2.565  79.7046010702904     172.14289852696
2.57  80.570786487302     174.381729199585
2.575  81.4482501392012     176.654982047673
2.58  82.3371656338572     178.963270179734
2.585  83.2377096750485     181.307219146527
2.59  84.1500621253663     183.687467224802
2.595  85.0744060705545     186.104665708246
2.6  86.010927885322     188.559479205811
2.605  86.9598173006652     191.052585947642
2.61  87.9212674727395     193.584678098817
2.615  88.8954750533192     196.156462081115
2.62  89.8826402618855     198.768658903046
2.625  90.8829669593861     201.42200449836
2.63  91.8966627237088     204.117250073299
2.635  92.9239389269127     206.855162462816
2.64  93.965010814263     209.636524496035
2.645  95.0200975851169     212.462135371202
2.65  96.0894224757073     215.332811040415
2.655  97.1732128438753     218.249384604388
2.66  98.2717002558011     221.212706717565
2.665  99.3851205747872     224.223646003868
2.67  100.513714052146     227.28308948338
2.675  101.657725420249     230.391943010305
2.68  102.817403987795     233.551131722498
2.685  103.993003737351     236.761600502931
2.69  105.184783425236     240.024314453434
2.695  106.393006683803     243.34025938106
2.7  107.617942126176     246.710442297465
2.705  108.859863453533     250.135891931666
2.71  110.11904956497     253.61765925659
2.715  111.395784670043     257.156818029804
2.72  112.690358404042     260.754465348863
2.725  114.003065946088     264.4117222217
2.73  115.334208140107     268.129734152516
2.735  116.684091618785     271.909671743621
2.74  118.053028930561     275.752731313719
2.745  119.441338669763     279.660135533119
2.75  120.849345609955     283.633134076395
2.755  122.277380840594     287.673004293005
2.76  123.725781907084     291.781051896435
2.765  125.194892954326     295.958611672412
2.77  126.685064873853     300.207048206784
2.775  128.196655454652     304.527756633649
2.78  129.730029537786     308.922163404376
2.785  131.285559174903     313.39172707814
2.79  132.86362379076     317.937939134648
2.795  134.464610349863     322.562324809737
2.8  136.08891352734     327.266443954546
2.805  137.736935884174     332.051891919014
2.81  139.409088046913     336.920300460433
2.815  141.105788891984     341.873338677874
2.82  142.827465734744     346.912713973261
2.825  144.574554523407     352.040173039967
2.83  146.347500037981     357.257502879761
2.835  148.146756094357     362.566531849037
2.84  149.972785753712     367.969130735231
2.845  151.826061537361     373.467213864397
2.85  153.707065647228     379.062740240927
2.855  155.616290192102     384.757714720449
2.86  157.554237419831     390.554189216968
2.865  159.521419955644     396.454263945338
2.87  161.518361046778     402.460088700231
2.875  163.54559481358     408.57386417275
2.88  165.603666507299     414.797843305932
2.885  167.693132774744     421.134332690402
2.89  169.814561930029     427.585694001472
2.895  171.968534233602     434.154345479069
2.9  174.155642178783     440.842763451868
2.905  176.376490786035     447.653483907108
2.91  178.631697905202     454.589104107587
2.915  180.921894525939     461.652284257403
2.92  183.247725096612     468.845749218056
2.925  185.609847851885     476.172290276593
2.93  188.008935149296     483.634766967534
2.935  190.445673815067     491.236108950379
2.94  192.920765499447     498.979317944561
2.945  195.434927041871     506.867469723797
2.95  197.988890846243     514.903716171822
2.955  200.583405266652     523.091287401608
2.96  203.219235003841     531.433493940222
2.965  205.89716151277     539.933728981555
2.97  208.617983421612     548.595470709259
2.975  211.382516962538     557.422284692293
2.98  214.191596414665     566.41782635558
2.985  217.04607455955     575.585843528376
2.99  219.946823149612     584.930179073038
2.995  222.894733389913     594.454773596989
3  225.890716433697     604.16366825078
3.005  228.935703892144     614.061007615265
3.01  232.030648358783     624.151042681011
3.015  235.17652394903     634.438133923194
