#      t_n         th_n        vth_n       Rx          Ry          
       1.515       -1.41964      3.67822         11.221        -17.8686        
       1.52       -1.4011      3.75083         11.9852        -17.5201        
       1.525       -1.3822      3.8232         12.7519        -17.1356        
       1.53       -1.36294      3.89531         13.5193        -16.7137        
       1.535       -1.34332      3.96711         14.2853        -16.2535        
       1.54       -1.32334      4.03859         15.0476        -15.7538        
       1.545       -1.30301      4.1097         15.8041        -15.2138        
       1.55       -1.28232      4.1804         16.5523        -14.6326        
       1.555       -1.26128      4.25067         17.2897        -14.0096        
       1.56       -1.23988      4.32045         18.0136        -13.3444        
       1.565       -1.21814      4.38971         18.7212        -12.6364        
       1.57       -1.19606      4.45842         19.4098        -11.8855        
       1.575       -1.17363      4.52652         20.0763        -11.0917        
       1.58       -1.15086      4.59397         20.7178        -10.2552        
       1.585       -1.12776      4.66073         21.3311        -9.37632        
       1.59       -1.10432      4.72675         21.9131        -8.45571        
       1.595       -1.08055      4.79199         22.4606        -7.49418        
       1.6       -1.05647      4.85639         22.9704        -6.49282        
       1.605       -1.03206      4.91991         23.4393        -5.45292        
       1.61       -1.00733      4.98249         23.8641        -4.37607        
       1.615       -0.982295      5.04409         24.2417        -3.2641        
       1.62       -0.956953      5.10466         24.5688        -2.11909        
       1.625       -0.93131      5.16415         24.8426        -0.943411        
       1.63       -0.905373      5.22249         25.0601        0.260307        
       1.635       -0.879145      5.27965         25.2184        1.48917        
       1.64       -0.852635      5.33556         25.3149        2.74002        
       1.645       -0.825847      5.39018         25.3472        4.00945        
       1.65       -0.798789      5.44345         25.313        5.2938        
       1.655       -0.771468      5.49532         25.2102        6.58916        
       1.66       -0.74389      5.54573         25.037        7.89144        
       1.665       -0.716062      5.59464         24.7919        9.19629        
       1.67       -0.687994      5.642         24.4736        10.4992        
       1.675       -0.659692      5.68774         24.0813        11.7955        
       1.68       -0.631164      5.73183         23.6144        13.0805        
       1.685       -0.60242      5.77422         23.0725        14.349        
       1.69       -0.573467      5.81485         22.456        15.5962        
       1.695       -0.544314      5.85368         21.7652        16.817        
       1.7       -0.514971      5.89066         21.0011        18.0062        
       1.705       -0.485447      5.92576         20.165        19.1587        
       1.71       -0.455751      5.95893         19.2586        20.2696        
       1.715       -0.425893      5.99012         18.2841        21.3339        
       1.72       -0.395883      6.0193         17.2439        22.3467        
       1.725       -0.365731      6.04644         16.141        23.3032        
       1.73       -0.335448      6.0715         14.9786        24.1991        
       1.735       -0.305044      6.09445         13.7605        25.03        
       1.74       -0.274529      6.11526         12.4906        25.7918        
       1.745       -0.243915      6.1339         11.1733        26.4809        
       1.75       -0.213211      6.15035         9.81325        27.0938        
       1.755       -0.18243      6.16459         8.41543        27.6274        
       1.76       -0.151582      6.1766         6.98502        28.079        
       1.765       -0.120679      6.18636         5.52743        28.4465        
       1.77       -0.0897313      6.19386         4.04827        28.7277        
       1.775       -0.0587507      6.19909         2.55328        28.9214        
       1.78       -0.0277484      6.20204         1.04832        29.0265        
       1.785       0.00326401      6.20271         -0.460687        29.0425        
       1.79       0.0342753      6.2011         -1.96779        28.9692        
       1.795       0.0652739      6.19721         -3.46705        28.8071        
       1.8       0.0962486      6.19105         -4.95258        28.5571        
       1.805       0.127188      6.18262         -6.41859        28.2203        
       1.81       0.158081      6.17194         -7.85942        27.7985        
       1.815       0.188915      6.15901         -9.26959        27.294        
       1.82       0.219681      6.14387         -10.6438        26.7091        
       1.825       0.250366      6.12651         -11.9771        26.0469        
       1.83       0.280961      6.10698         -13.2646        25.3107        
       1.835       0.311453      6.08529         -14.5018        24.5041        
       1.84       0.341833      6.06147         -15.6847        23.6311        
       1.845       0.372089      6.03555         -16.8095        22.6957        
       1.85       0.402212      6.00757         -17.8727        21.7026        
       1.855       0.43219      5.97756         -18.8712        20.6562        
       1.86       0.462015      5.94555         -19.8024        19.5615        
       1.865       0.491676      5.91159         -20.6641        18.4233        
       1.87       0.521163      5.87571         -21.4544        17.2466        
       1.875       0.550466      5.83796         -22.1718        16.0366        
       1.88       0.579578      5.79839         -22.8152        14.7984        
       1.885       0.608488      5.75703         -23.3841        13.5369        
       1.89       0.637187      5.71394         -23.8781        12.2573        
       1.895       0.665668      5.66916         -24.2974        10.9646        
       1.9       0.693922      5.62275         -24.6424        9.66355        
       1.905       0.72194      5.57475         -24.9139        8.35892        
       1.91       0.749715      5.52522         -25.113        7.05529        
       1.915       0.77724      5.4742         -25.2412        5.75703        
       1.92       0.804507      5.42175         -25.3001        4.46835        
       1.925       0.831508      5.36792         -25.2918        3.19322        
       1.93       0.858238      5.31276         -25.2183        1.93539        
       1.935       0.88469      5.25633         -25.0823        0.698353        
       1.94       0.910856      5.19868         -24.8861        -0.514637        
       1.945       0.936733      5.13986         -24.6326        -1.70059        
       1.95       0.962313      5.07993         -24.3246        -2.85679        
       1.955       0.987591      5.01893         -23.9652        -3.98077        
       1.96       1.01256      4.95692         -23.5575        -5.07035        
       1.965       1.03722      4.89394         -23.1045        -6.12359        
       1.97       1.06156      4.83006         -22.6094        -7.13884        
       1.975       1.08558      4.76531         -22.0755        -8.11469        
       1.98       1.10928      4.69974         -21.506        -9.04999        
       1.985       1.13265      4.63341         -20.9041        -9.94381        
       1.99       1.15568      4.56636         -20.2729        -10.7955        
       1.995       1.17838      4.49864         -19.6156        -11.6045        
       2       1.20073      4.43029         -18.9351        -12.3707        
       2.005       1.22275      4.36135         -18.2345        -13.094        
       2.01       1.24441      4.29186         -17.5167        -13.7745        
       2.015       1.26573      4.22188         -16.7844        -14.4125        
       2.02       1.2867      4.15143         -16.0404        -15.0085        
       2.025       1.30732      4.08055         -15.2871        -15.5632        
       2.03       1.32758      4.00929         -14.5272        -16.0771        
       2.035       1.34748      3.93768         -13.7628        -16.5514        
       2.04       1.36703      3.86574         -12.9963        -16.9868        
       2.045       1.38621      3.79352         -12.2297        -17.3846        
       2.05       1.40503      3.72105         -11.465        -17.7458        
       2.055       1.42349      3.64835         -10.704        -18.0717        
       2.06       1.44159      3.57546         -9.94846        -18.3635        
       2.065       1.45932      3.50241         -9.19988        -18.6228        
       2.07       1.47669      3.42921         -8.45975        -18.8508        
       2.075       1.49369      3.35589         -7.72942        -19.0489        
       2.08       1.51032      3.28248         -7.01008        -19.2186        
       2.085       1.52658      3.209         -6.30286        -19.3614        
       2.09       1.54248      3.13547         -5.60873        -19.4788        
       2.095       1.55801      3.06191         -4.92859        -19.5721        
       2.1       1.57317      2.98834         -4.26321        -19.6429        
       2.105       1.58797      2.91477         -3.61329        -19.6926        
       2.11       1.6024      2.84122         -2.97942        -19.7227        
       2.115       1.61646      2.7677         -2.36211        -19.7345        
       2.12       1.63015      2.69424         -1.76179        -19.7295        
       2.125       1.64347      2.62083         -1.17881        -19.7089        
       2.13       1.65643      2.54749         -0.613463        -19.6742        
       2.135       1.66902      2.47424         -0.0659522        -19.6267        
       2.14       1.68124      2.40107         0.463563        -19.5675        
       2.145       1.6931      2.32801         0.974982        -19.4978        
       2.15       1.7046      2.25504         1.46826        -19.419        
       2.155       1.71573      2.1822         1.94338        -19.332        
       2.16       1.72649      2.10946         2.4004        -19.238        
       2.165       1.73689      2.03685         2.83939        -19.138        
       2.17       1.74693      1.96436         3.26045        -19.0331        
       2.175       1.75661      1.892         3.66372        -18.9241        
       2.18       1.76593      1.81977         4.04938        -18.812        
       2.185       1.77488      1.74767         4.41759        -18.6977        
       2.19       1.78348      1.6757         4.76857        -18.5819        
       2.195       1.79171      1.60386         5.10253        -18.4655        
       2.2       1.79959      1.53215         5.4197        -18.3492        
       2.205       1.8071      1.46057         5.72032        -18.2337        
       2.21       1.81426      1.38912         6.00462        -18.1196        
       2.215       1.82107      1.31779         6.27286        -18.0077        
       2.22       1.82751      1.24658         6.52529        -17.8984        
       2.225       1.8336      1.17548         6.76215        -17.7923        
       2.23       1.83934      1.1045         6.98368        -17.6899        
       2.235       1.84472      1.03363         7.19013        -17.5917        
       2.24       1.84975      0.962855         7.38171        -17.4981        
       2.245       1.85442      0.892181         7.55867        -17.4095        
       2.25       1.85874      0.8216         7.7212        -17.3263        
       2.255       1.86271      0.751105         7.8695        -17.2488        
       2.26       1.86632      0.680689         8.00378        -17.1774        
       2.265       1.86958      0.610346         8.12419        -17.1123        
       2.27       1.87249      0.54007         8.23091        -17.0537        
       2.275       1.87505      0.469852         8.32408        -17.0019        
       2.28       1.87726      0.399686         8.40382        -16.957        
       2.285       1.87912      0.329565         8.47024        -16.9193        
       2.29       1.88063      0.25948         8.52345        -16.8888        
       2.295       1.88179      0.189425         8.56351        -16.8657        
