#   x     ph    phteo     err 
1.255   -1.01786988078186     -1.01558394979348      0.00228593098838115
1.26   -1.03323776184565     -1.03091731944386      0.00232044240178841
1.265   -1.04835070694398     -1.04599632567161      0.00235438127236853
1.27   -1.06320498718368     -1.06081724795759      0.00238773922609226
1.275   -1.07779693749324     -1.07537642946097      0.00242050803226213
1.28   -1.09212295752714     -1.08967027792159      0.00245267960554774
1.285   -1.1061795125542     -1.10369526654623      0.00248424600797614
1.29   -1.11996313432968     -1.11744793487878      0.00251519945089762
1.295   -1.13347042195104     -1.13092488965414      0.00254553229690146
1.3   -1.14669804269707     -1.14412280563537      0.00257523706170204
1.305   -1.15964273285017     -1.15703842643418      0.00260430641598441
1.31   -1.17230129850163     -1.16966856531441      0.00263273318721846
1.315   -1.1846706163397     -1.18201010597828      0.00266051036141701
1.32   -1.19674763442017     -1.19406000333529      0.00268763108487979
1.325   -1.20852937291946     -1.20581528425358      0.00271408866587763
1.33   -1.22001292486978     -1.21727304829349      0.00273987657629715
1.335   -1.23119545687644     -1.22843046842317      0.00276498845326945
1.34   -1.24207420981689     -1.23928479171617      0.00278941810072109
1.345   -1.25264649952155     -1.24983334003063      0.00281315949091487
1.35   -1.26290971743603     -1.2600735106701      0.00283620676593266
1.355   -1.27286133126481     -1.27000277702569      0.00285855423911885
1.36   -1.28249888559601     -1.27961868919952      0.00288019639648951
1.365   -1.29182000250721     -1.28891887460912      0.00290112789808861
1.37   -1.30082238215223     -1.29790103857293      0.00292134357930407
1.375   -1.30950380332852     -1.30656296487638      0.00294083845214721
1.38   -1.31786212402524     -1.31490251631876      0.00295960770647796
1.385   -1.32589528195175     -1.32291763524055      0.0029776467111966
1.39   -1.33360129504648     -1.33060634403109      0.0029949510153835
1.395   -1.34097826196593     -1.33796674561653      0.00301151634939711
1.4   -1.34802436255385     -1.34499702392791      0.0030273386259303
1.405   -1.35473785829028     -1.35169544434927      0.00304241394101501
1.41   -1.36111709272057     -1.35806035414558      0.00305673857498934
1.415   -1.36716049186401     -1.3640901828706      0.0030703089934121
1.42   -1.37286656460225     -1.36978344275432      0.00308312184793502
1.425   -1.37823390304717     -1.37513872907004      0.00309517397713321
1.43   -1.38326118288829     -1.38015472048101      0.00310646240727941
1.435   -1.38794716371948     -1.3848301793664      0.00311698435308272
1.44   -1.39229068934506     -1.38916395212669      0.00312673721837098
1.445   -1.39629068806504     -1.3931549694683      0.00313571859673667
1.45   -1.39994617293955     -1.39680224666742      0.00314392627212579
1.455   -1.40325624203236     -1.40010488381297      0.00315135821938806
1.46   -1.40622007863344     -1.40306206602867      0.00315801260477477
1.465   -1.40883695146043     -1.40567306367404      0.00316388778639132
1.47   -1.41110621483908     -1.40793723252448      0.00316898231460372
1.475   -1.41302730886261     -1.40985401393021      0.00317329493239504
1.48   -1.41459975952979     -1.41142293495411      0.00317682457567448
1.485   -1.41582317886193     -1.41264360848838      0.00317957037354488
1.49   -1.41669726499861     -1.4135157333501      0.00318153164850843
1.495   -1.41722180227215     -1.4140390943555      0.0031827079166451
1.5   -1.41739666126082     -1.4142135623731      0.00318309888772372
1.505   -1.41722179882078     -1.4140390943555      0.0031827044652768
1.51   -1.41669725809672     -1.4135157333501      0.00318152474662248
1.515   -1.41582316851123     -1.41264360848838      0.00317956002284414
1.52   -1.41459974573283     -1.41142293495411      0.00317681077871446
1.525   -1.41302729162279     -1.40985401393021      0.00317327769257791
1.53   -1.41110619416066     -1.40793723252448      0.0031689616361843
1.535   -1.40883692734851     -1.40567306367404      0.00316386367447019
1.54   -1.40622005109397     -1.40306206602867      0.00315798506530052
1.545   -1.40325621107213     -1.40010488381297      0.00315132725915457
1.55   -1.39994613856619     -1.39680224666742      0.00314389189877073
1.555   -1.39629065028704     -1.3931549694683      0.00313568081874127
1.56   -1.39229064817175     -1.38916395212669      0.00312669604505555
1.565   -1.38794711916101     -1.3848301793664      0.00311693979460426
1.57   -1.38326113495564     -1.38015472048101      0.003106414474632
1.575   -1.37823385175218     -1.37513872907004      0.00309512268214118
1.58   -1.37286650995757     -1.36978344275431      0.00308306720325469
1.585   -1.36716043388312     -1.3640901828706      0.00307025101252401
1.59   -1.36111703141778     -1.35806035414558      0.00305667727219894
1.595   -1.35473779368071     -1.35169544434927      0.00304234933144576
1.6   -1.34802429465344     -1.34499702392791      0.00302727072552167
1.605   -1.34097819079143     -1.33796674561653      0.00301144517490148
1.61   -1.33360122061545     -1.33060634403109      0.00299487658435971
1.615   -1.32589520428256     -1.32291763524055      0.00297756904200752
1.62   -1.31786204313705     -1.31490251631876      0.00295952681828626
1.625   -1.30950371924128     -1.30656296487638      0.00294075436490759
1.63   -1.30082229488669     -1.29790103857293      0.00292125631376239
1.635   -1.2918199120849     -1.28891887460912      0.00290103747577453
1.64   -1.28249879203923     -1.27961868919952      0.00288010283971141
1.645   -1.27286123459665     -1.27000277702569      0.00285845757095715
1.65   -1.26290961768034     -1.2600735106701      0.00283610701023651
1.655   -1.25264639670293     -1.24983334003063      0.00281305667229614
1.66   -1.24207410396072     -1.23928479171617      0.00278931224454637
1.665   -1.23119534800882     -1.22843046842317      0.00276487958565186
1.67   -1.22001281301758     -1.21727304829349      0.00273976472409831
1.675   -1.20852925811027     -1.20581528425358      0.00271397385668992
1.68   -1.19674751668232     -1.19406000333529      0.00268751334703099
1.685   -1.18467049570223     -1.18201010597828      0.00266038972395255
1.69   -1.17230117499431     -1.16966856531441      0.00263260967990031
1.695   -1.15964260650347     -1.15703842643418      0.00260418006928465
1.7   -1.14669791354216     -1.14412280563537      0.00257510790679061
1.705   -1.13347029001978     -1.13092488965414      0.00254540036564133
1.71   -1.11996299965462     -1.11744793487878      0.00251506477583918
1.715   -1.10617937516857     -1.10369526654622      0.00248410862234438
1.72   -1.09212281746483     -1.08967027792159      0.00245253954323466
1.725   -1.0777967947888     -1.07537642946097      0.00242036532782697
1.73   -1.06320484187233     -1.06081724795759      0.00238759391474019
1.735   -1.04835055906156     -1.04599632567161      0.00235423338995022
1.74   -1.03323761142865     -1.03091731944386      0.00232029198478756
1.745   -1.01786972786739     -1.01558394979348      0.00228577807390717
1.75   -1.00225070017323     -1      0.00225070017322593
1.755   -0.986384382107658     -0.984169315169839      0.00221506693781837
1.76   -0.970274688447382     -0.968095801287604      0.0021788871597781
1.765   -0.953925594018386     -0.951783424252327      0.00214216976605885
1.77   -0.937341132715216     -0.935236208898959      0.00210492381625693
1.775   -0.920525396505674     -0.918458238005283      0.00206715850039141
1.78   -0.903482534421188     -0.901453651284566      0.00202888313662208
1.785   -0.886216751533096     -0.884226644364134      0.00199010716896209
1.79   -0.868732307915115     -0.866781467750174      0.00195084016494129
1.795   -0.851033517592222     -0.849122425778975      0.001911091813247
1.8   -0.833124747476241     -0.831253875554907      0.00187087192133351
1.805   -0.815010416288369     -0.813180225875364      0.00183019041300514
1.81   -0.796694993468922     -0.794905936142965      0.00178905732595747
1.815   -0.778182998074571     -0.776435515265253      0.00174748280931836
1.82   -0.759478997663329     -0.757773520542204      0.00170547712112434
1.825   -0.740587607167574     -0.738924556541771      0.00166305062580308
1.83   -0.721513487755387     -0.719893273963776      0.00162021379161059
1.835   -0.702261345680475     -0.700684368492425      0.0015769771880495
1.84   -0.682835931120976     -0.681302579637714      0.00153335148326206
1.845   -0.663242037007421     -0.661752689566025      0.00148934744139595
1.85   -0.643484497840153     -0.642039521920206      0.00144497591994663
1.855   -0.623568188496482     -0.622167940629396      0.00140024786708548
1.86   -0.603498023027887     -0.602142848708934      0.00135517431895327
1.865   -0.583278953447543     -0.581969187050611      0.00130976639693214
1.87   -0.56291596850849     -0.561651933203573      0.00126403530491648
1.875   -0.542414092472727     -0.541196100146198      0.0012179923265293
1.88   -0.521778383871558     -0.5206067350492      0.00117164882235765
1.885   -0.501013934257468     -0.499888918030336      0.00112501622713163
1.89   -0.480125866947864     -0.479047760900947      0.00107810604691666
1.895   -0.459119335760967     -0.458088405904701      0.00103092985626663
1.9   -0.437999523744193     -0.437016024448821      0.000983499295371615
1.905   -0.416771641895304     -0.415835815828121      0.000935826067183843
1.91   -0.39544092787668     -0.394553005942148      0.000887921934532743
1.915   -0.374012644723     -0.373172846005784      0.000839798717215623
